Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2022-02-04,19.0,19.0,15.793,16.799999,16.799999,1093100,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-07,18.049999,18.049999,15.65,17.84,17.84,451400,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-08,16.98,18.136999,16.75,17.780001,17.780001,132300,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-09,18.07,18.49,16.370001,16.4,16.4,137800,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-10,16.99,17.34,16.190001,16.860001,16.860001,111600,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-11,16.51,17.85,16.450001,17.0,17.0,229700,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-14,17.16,17.440001,15.9,16.450001,16.450001,147400,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-15,16.879999,17.34,16.555,17.030001,17.030001,83700,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-16,17.0,17.74,16.59,17.200001,17.200001,121700,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-17,17.49,17.73,16.5,17.280001,17.280001,137900,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-18,17.059999,18.09,17.0,17.82,17.82,99600,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-22,18.040001,19.25,16.940001,18.65,18.65,242300,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-23,18.49,19.059999,18.01,19.059999,19.059999,108800,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-24,18.68,19.0,16.68,18.959999,18.959999,130800,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-25,19.18,19.18,16.23,16.940001,16.940001,249900,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-02-28,17.120001,19.924999,15.55,19.139999,19.139999,211100,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-03-01,19.280001,19.280001,16.705,17.07,17.07,165600,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-03-02,16.9,17.49,16.556,16.700001,16.700001,112000,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-03-03,16.549999,18.24,16.549999,17.9,17.9,79500,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,,,
2022-03-04,18.15,18.625,17.08,18.0,18.0,75600,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,4.243972168600885,,
2022-03-07,18.16,19.040001,16.940001,17.18,17.18,148700,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,2.0651931460604844,,
2022-03-08,17.030001,17.91,16.51,17.139999,17.139999,122800,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,2.4022158290020856,,
2022-03-09,17.620001,18.219999,16.379999,16.389999,16.389999,120600,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,-4.411763393661139,,
2022-03-10,16.280001,17.094999,15.622,16.5,16.5,107000,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,-3.7139741526821535,,
2022-03-11,16.67,17.35,15.307,16.68,16.68,76500,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,-1.6592599476419556,,
2022-03-14,16.98,17.65,16.17,16.35,16.35,80100,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,-2.969059706474053,,
2022-03-15,16.379999,17.67,16.212,17.02,17.02,117500,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,-1.4222007978849205,,
2022-03-16,17.629999,18.200001,16.514999,17.379999,17.379999,170600,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,-1.758401058196446,,
2022-03-17,17.540001,18.007999,16.889999,17.120001,17.120001,222900,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,-4.452005465483544,,
2022-03-18,17.18,17.52,15.55,15.57,15.57,1450200,ACLX,Arcellx Inc,생명과학 및 메디컬 리서치,-13.619086772800593,,
