Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2022-02-04,9.88,9.92,9.88,9.92,9.92,200,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-07,9.92,9.92,9.92,9.92,9.92,100,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-08,9.85,9.85,9.85,9.85,9.85,500,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-09,9.93,9.93,9.754,9.86,9.86,3100,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-10,9.86,9.89,9.8,9.8,9.8,115600,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-11,9.81,9.87,9.81,9.825,9.825,18300,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-14,9.87,9.87,9.8,9.84,9.84,1600,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-15,9.84,9.84,9.84,9.84,9.84,600,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-16,9.84,9.84,9.82,9.83,9.83,68100,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-17,9.83,9.89,9.82,9.88,9.88,30100,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-18,9.89,9.89,9.8,9.86,9.86,10800,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-22,9.86,9.86,9.86,9.86,9.86,100,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-23,9.85,9.85,9.81,9.815,9.815,1700,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-24,9.76,9.83,9.76,9.83,9.83,12500,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-25,9.85,9.85,9.81,9.81,9.81,5800,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-02-28,9.84,9.84,9.84,9.84,9.84,300,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-03-01,9.86,9.86,9.85,9.85,9.85,2800,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-03-02,9.84,9.86,9.84,9.85,9.85,107000,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-03-03,9.85,9.88,9.85,9.87,9.87,93200,BFAC,Battery Future Acquisition Corp,기타 금융업,,,
2022-03-04,9.89,9.89,9.89,9.89,9.89,200,BFAC,Battery Future Acquisition Corp,기타 금융업,2.058676089527234,,
2022-03-07,9.89,9.89,9.88,9.88,9.88,2900,BFAC,Battery Future Acquisition Corp,기타 금융업,4.711385612301999,,
2022-03-08,9.89,9.89,9.85,9.88,9.88,4200,BFAC,Battery Future Acquisition Corp,기타 금융업,5.10808476088882,,
2022-03-09,9.89,9.89,9.89,9.89,9.89,5600,BFAC,Battery Future Acquisition Corp,기타 금융업,2.275631371988074,,
2022-03-10,9.89,9.89,9.88,9.89,9.89,5300,BFAC,Battery Future Acquisition Corp,기타 금융업,2.3262852835502112,,
2022-03-11,9.89,9.89,9.87,9.89,9.89,175500,BFAC,Battery Future Acquisition Corp,기타 금융업,3.2682746112608907,,
2022-03-14,9.93,9.93,9.88,9.91,9.91,300400,BFAC,Battery Future Acquisition Corp,기타 금융업,3.9059215553092885,,
