Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2022-06-23,25.0,25.25,24.99,25.0,25.0,61800,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-06-24,25.0,25.0,25.0,25.0,25.0,10000,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-06-27,25.0,25.0,24.0,24.75,24.75,24400,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-06-28,24.75,24.75,24.75,24.75,24.75,0,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-06-29,25.0,25.0,23.700001,23.75,23.75,152000,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-06-30,24.0,24.75,22.75,22.969999,22.969999,101100,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-01,22.85,23.51,21.445,22.74,22.74,14398100,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-05,21.450001,22.799999,21.209999,21.34,21.34,2046500,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-06,20.98,21.705,20.040001,20.51,20.51,2170600,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-07,20.34,21.08,18.82,20.5,20.5,3104400,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-08,20.120001,20.790001,19.299999,19.389999,19.389999,1898300,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-11,19.370001,19.370001,17.360001,17.700001,17.700001,1622300,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-12,17.639999,19.200001,17.190001,18.799999,18.799999,2022300,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-13,17.98,18.514999,17.705,18.0,18.0,1055200,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-14,17.74,18.5,16.98,17.290001,17.290001,750300,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-15,17.24,18.620001,17.059999,18.530001,18.530001,865100,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-18,18.58,19.48,18.049999,18.540001,18.540001,317000,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-19,18.799999,19.09,18.030001,18.370001,18.370001,612100,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-20,18.08,18.99,18.08,18.52,18.52,946800,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,,,
2022-07-21,18.049999,18.959999,18.030001,18.84,18.84,584700,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-12.481776732596938,,
2022-07-22,18.76,18.959999,18.461,18.68,18.68,453800,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-10.858350147516171,,
2022-07-25,18.290001,18.98,18.243,18.540001,18.540001,501100,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-10.184703540194008,,
2022-07-26,18.200001,18.68,17.85,17.940001,17.940001,808000,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-10.55465251107619,,
2022-07-27,17.99,18.5,17.719999,18.190001,18.190001,329100,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-9.897521391347986,,
2022-07-28,18.139999,18.379999,17.629999,18.25,18.25,334000,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-9.109993351355172,,
2022-07-29,18.280001,18.41,17.16,17.51,17.51,639400,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-12.392392369430949,,
2022-08-01,17.370001,18.235001,17.219999,17.969999,17.969999,599900,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-8.338530679992173,,
2022-08-02,15.45,16.08,14.26,14.7,14.7,1957900,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-22.914688097452686,,
2022-08-03,14.45,14.61,13.45,13.5,13.5,1070300,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-28.702709059843635,,
2022-08-04,13.41,13.5,11.65,12.45,12.45,2468600,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-32.52800356633229,,
2022-08-05,12.2,12.81,12.2,12.75,12.75,1166700,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-29.280547268478408,,
2022-08-08,12.99,13.98,12.955,13.51,13.51,1810700,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-23.808305489753778,,
2022-08-09,13.8,13.92,12.9,13.11,13.11,1688500,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-24.206539730007172,,
2022-08-10,13.29,13.75,13.22,13.41,13.41,656600,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-22.66023798667909,,
2022-08-11,14.13,14.483,13.43,13.6,13.6,1310700,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-20.221784914775853,,
2022-08-12,13.51,13.87,13.391,13.83,13.83,787000,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-18.683185749051788,,
2022-08-15,13.83,16.299999,13.83,15.9,15.9,987500,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-5.527141162129023,,
2022-08-16,15.98,15.98,14.57,14.96,14.96,885700,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-9.908383488396744,,
2022-08-17,14.99,15.09,14.06,14.3,14.3,349100,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-11.73206135264515,,
2022-08-18,13.98,14.25,13.56,14.07,14.07,266500,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-11.68636991198605,,
2022-08-19,14.05,14.84,13.69,14.56,14.56,394500,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-5.805765348452951,,
2022-08-22,14.66,15.545,14.511,15.41,15.41,563800,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,3.21406217614566,,
2022-08-23,15.38,15.83,14.96,15.74,15.74,384800,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,6.78995108415994,,
2022-08-24,15.65,16.040001,15.44,15.85,15.85,413400,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,8.274542098247451,,
2022-08-25,15.5,15.91,15.16,15.32,15.32,428100,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,4.430033221849161,,
2022-08-26,15.26,15.79,14.8,15.0,15.0,339200,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,6.641662407931781,,
2022-08-29,14.93,15.56,14.68,15.04,15.04,243200,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,8.633380548249981,,
2022-08-30,15.43,16.299999,15.26,15.98,15.98,334700,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,16.007942700165213,,
2022-08-31,16.120001,16.84,15.91,16.6,16.6,861200,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,19.81444142194746,,
2022-09-01,16.43,16.674999,14.86,15.42,15.42,556600,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,9.575258750712168,,
2022-09-02,15.28,16.200001,15.28,15.41,15.41,338000,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,9.380708055261522,,
2022-09-06,16.459999,16.889999,15.66,16.6,16.6,1040000,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,16.711980440775353,,
2022-09-07,16.67,16.985001,15.95,16.26,16.26,608500,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,10.88314189787254,,
2022-09-08,16.01,16.6,15.63,16.450001,16.450001,389800,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,10.06640200797515,,
2022-09-09,16.709999,16.85,16.209999,16.4,16.4,453900,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,6.9352937493324385,,
2022-09-12,16.34,16.705,15.64,16.379999,16.379999,491000,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,4.640294894122188,,
2022-09-13,16.040001,16.24,15.47,15.68,15.68,328400,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,4.302194882518062,,
2022-09-14,15.63,15.91,15.19,15.42,15.42,339100,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,1.6509017961878536,,
2022-09-15,15.46,16.09,15.32,15.63,15.63,443500,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,3.327044041698879,,
2022-09-16,15.25,15.61,14.76,14.89,14.89,1461400,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-1.5633824862505863,,
2022-09-19,14.77,16.129999,14.77,15.84,15.84,376700,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,3.1869346680690525,,
2022-09-20,15.65,15.81,14.94,15.15,15.15,402400,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-0.4420315930402041,,
2022-09-21,15.15,15.46,14.21,14.28,14.28,477000,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-4.471250192810672,,
2022-09-22,14.29,15.09,13.68,14.8,14.8,888700,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,-0.29077938325284824,,
2022-09-23,14.45,14.74,14.14,14.68,14.68,445200,EHAB,Enhabit Inc,헬스케어 업체 및 서비스,0.22079725207051482,,
