Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2021-07-29,14.92,15.67,13.2,14.1,14.1,670900,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-07-30,16.27,25.780001,15.645,17.0,17.0,1804100,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-02,16.51,19.0,14.54,18.0,18.0,311000,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-03,18.32,21.120001,17.4,19.18,19.18,332600,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-04,19.18,20.344999,18.01,19.5,19.5,138800,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-05,20.08,23.719999,19.709999,23.4,23.4,112700,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-06,24.1,24.1,18.25,18.790001,18.790001,140400,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-09,18.059999,19.475,17.25,18.780001,18.780001,94100,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-10,18.280001,18.93,17.620001,18.32,18.32,68300,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-11,18.01,18.355,17.0,17.440001,17.440001,149400,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-12,17.4,18.271999,16.700001,17.15,17.15,86600,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-13,16.52,17.235001,16.52,17.1,17.1,82500,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-16,16.620001,17.183001,15.21,15.55,15.55,71800,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-17,15.6,16.08,14.539,14.76,14.76,103500,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,,,,,
2021-08-18,15.21,15.39,13.765,14.18,14.18,121100,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,3.184357071428572,-0.1821403777874067,,1.4235725564151385,
2021-08-19,13.73,15.1,11.86,12.92,12.92,132800,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,2.581499857142858,-0.48808834775398263,,-0.6647469046515612,
2021-08-20,13.05,13.435,12.26,12.69,12.69,64700,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,2.3468570000000004,-0.09800341477985254,,-1.240858641429745,
2021-08-23,13.4,13.71,12.82,12.88,12.88,176300,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,2.1539997857142863,0.08820799391908737,,-1.1251669506977493,
2021-08-24,13.0,13.214,12.67,13.09,13.09,60200,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,,,,2.0260712857142864,0.10364887034365333,,-0.11593197728043014,
2021-08-25,12.86,13.195,12.702,12.83,12.83,30900,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,-22.72860559868891,,,1.759857071428572,-0.14773927054709257,,-0.48281738710434663,
2021-08-26,13.0,13.15,12.75,13.13,13.13,90300,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,-20.18473697263088,,,1.3705713571428575,0.21888681566014304,,1.06844149679598,
2021-08-27,13.0,13.4,12.8,13.0,13.0,102800,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,-20.602491239208597,,,1.254499928571429,-0.10362694890548081,,-1.3011449554062915,
2021-08-30,13.02,13.401,12.67,12.87,12.87,113300,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,-20.350374087810607,,,1.2131428571428575,-0.10715967969854041,,-0.6818598214343129,
2021-08-31,12.8,13.239,12.77,13.15,13.15,69200,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,-16.8426202215165,,,1.1498571428571434,0.24350851037396037,,0.4233426305549417,
2021-09-01,13.57,13.57,12.8,13.13,13.13,77200,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,-15.14210299437513,,,1.0925715714285718,-0.018305436937050213,,-0.060753472649502635,
2021-09-02,13.01,13.15,12.9,13.04,13.04,90600,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,-12.894898282494715,,,1.0593572142857144,-0.08495717854782849,,-0.46072427353938517,
