Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2022-04-20,9.84,9.84,9.84,9.84,9.84,200,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-04-21,9.89,9.89,9.89,9.89,9.89,200,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-04-22,9.88,9.89,9.88,9.89,9.89,1000,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-04-25,9.94,9.94,9.87,9.87,9.87,24100,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-04-26,9.87,9.87,9.87,9.87,9.87,300,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-04-27,9.87,9.87,9.87,9.87,9.87,0,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-04-28,9.87,9.87,9.87,9.87,9.87,100,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-04-29,9.855,9.855,9.855,9.855,9.855,655800,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-05-02,9.88,9.88,9.84,9.84,9.84,300,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-05-03,9.84,9.84,9.84,9.84,9.84,0,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-05-04,9.88,9.88,9.85,9.86,9.86,150200,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-05-05,9.88,9.88,9.88,9.88,9.88,300,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-05-06,9.84,9.84,9.83,9.83,9.83,300,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-05-09,9.83,9.83,9.83,9.83,9.83,200,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,,,,,,
2022-05-10,9.83,9.83,9.83,9.83,9.83,0,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,0.02107142857142882,0.0,,-0.08074925801658636,,
2022-05-11,9.82,9.82,9.81,9.81,9.81,5600,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,0.018928571428571597,-1.0566037735848737,,-0.5117823796757741,,
2022-05-12,9.8,9.8,9.8,9.8,9.8,139300,CLIN,Clean Earth Acquisitions Corp,기타 금융업,,,,0.018928571428571597,-0.5283018867924368,,-0.48561306190750064,,
